Tag	dynamicColors	mergedColors
A2M	tan	tan
A4GALT	grey	grey
AAAS	yellow	yellow
AACS	turquoise	turquoise
AADAC	grey	grey
AADAT	grey	grey
AAGAB	turquoise	turquoise
AAK1	blue	blue
AAMDC	grey	grey
AAMP	black	black
AAR2	grey	grey
AARD	turquoise	turquoise
AARS	grey	grey
AARS2	red	lightcyan
AARSD1	yellow	yellow
AASDH	turquoise	turquoise
AASDHPPT	blue	blue
AASS	blue	blue
AATF	red	lightcyan
AATK	turquoise	turquoise
ABAT	grey	grey
ABCA1	brown	brown
ABCA12	grey	grey
ABCA13	magenta	magenta
ABCA2	red	lightcyan
ABCA3	turquoise	turquoise
ABCA4	grey	grey
ABCA5	green	green
ABCA6	tan	tan
ABCA7	yellow	yellow
ABCA8	tan	tan
ABCA9	tan	tan
ABCB1	greenyellow	greenyellow
ABCB10	blue	blue
ABCB6	lightgreen	lightgreen
ABCB7	midnightblue	midnightblue
ABCB8	cyan	black
ABCB9	grey	grey
ABCC1	lightgreen	lightgreen
ABCC10	red	lightcyan
ABCC3	turquoise	turquoise
ABCC4	grey	grey
ABCC5	magenta	magenta
ABCC6	turquoise	turquoise
ABCC9	tan	tan
ABCD1	red	lightcyan
ABCD2	greenyellow	greenyellow
ABCD3	grey	grey
ABCD4	yellow	yellow
ABCE1	turquoise	turquoise
ABCF1	red	lightcyan
ABCF2	turquoise	turquoise
ABCF3	turquoise	turquoise
ABCG1	brown	brown
ABCG2	tan	tan
ABHD10	turquoise	turquoise
ABHD11	cyan	black
ABHD12	black	black
ABHD13	midnightblue	midnightblue
ABHD14A	salmon	salmon
ABHD14B	salmon	salmon
ABHD15	purple	purple
ABHD16A	yellow	yellow
ABHD17A	red	lightcyan
ABHD17B	blue	blue
ABHD17C	grey	grey
ABHD18	green	green
ABHD2	blue	blue
ABHD3	turquoise	turquoise
ABHD4	lightgreen	lightgreen
ABHD5	brown	brown
ABHD6	brown	brown
ABHD8	red	lightcyan
ABI1	turquoise	turquoise
ABI2	blue	blue
ABI3	brown	brown
ABI3BP	tan	tan
ABL1	red	lightcyan
ABL2	blue	blue
ABLIM1	blue	blue
ABLIM2	grey	grey
ABLIM3	brown	brown
ABO	turquoise	turquoise
ABR	brown	brown
ABRACL	turquoise	turquoise
ABT1	purple	purple
ABTB1	turquoise	turquoise
ABTB2	grey	grey
ACAA1	turquoise	turquoise
ACAA2	grey	grey
ACACA	blue	blue
ACACB	green	green
ACAD10	yellow	yellow
ACAD8	turquoise	turquoise
ACAD9	turquoise	turquoise
ACADL	turquoise	turquoise
ACADM	grey	grey
ACADS	blue	blue
ACADSB	turquoise	turquoise
ACADVL	yellow	yellow
ACAN	pink	pink
ACAP1	greenyellow	greenyellow
ACAP2	salmon	salmon
ACAP3	yellow	yellow
ACAT1	grey	grey
ACAT2	turquoise	turquoise
ACBD3	blue	blue
ACBD4	yellow	yellow
ACBD5	turquoise	turquoise
ACBD6	brown	brown
ACBD7	turquoise	turquoise
ACCS	yellow	yellow
ACD	red	lightcyan
ACE	tan	tan
ACE2	turquoise	turquoise
ACER2	blue	blue
ACER3	brown	brown
ACHE	grey	grey
ACIN1	yellow	yellow
ACKR1	tan	tan
ACKR2	grey	grey
ACKR3	pink	pink
ACKR4	brown	brown
ACLY	turquoise	turquoise
ACO1	grey	grey
ACO2	grey	grey
ACOT1	grey	grey
ACOT11	grey	grey
ACOT13	lightgreen	lightgreen
ACOT2	grey	grey
ACOT4	grey	grey
ACOT7	turquoise	turquoise
ACOT8	black	black
ACOT9	grey	grey
ACOX1	grey	grey
ACOX2	turquoise	turquoise
ACOX3	grey	grey
ACOXL	turquoise	turquoise
ACP1	turquoise	turquoise
ACP2	brown	brown
ACP5	brown	brown
ACP6	yellow	yellow
ACPP	grey	grey
ACRBP	brown	brown
ACSF2	yellow	yellow
ACSF3	yellow	yellow
ACSL1	brown	brown
ACSL3	blue	blue
ACSL4	brown	brown
ACSL5	turquoise	turquoise
ACSM1	turquoise	turquoise
ACSM3	turquoise	turquoise
ACSS1	turquoise	turquoise
ACSS2	turquoise	turquoise
ACSS3	grey	grey
ACTA2	pink	pink
ACTB	brown	brown
ACTG1	turquoise	turquoise
ACTG2	pink	pink
ACTL10	yellow	yellow
ACTL6A	turquoise	turquoise
ACTN1	pink	pink
ACTN4	lightcyan	lightcyan
ACTR10	grey	grey
ACTR1A	green	green
ACTR1B	black	black
ACTR2	salmon	salmon
ACTR3	salmon	salmon
ACTR3B	turquoise	turquoise
ACTR3C	black	black
ACTR5	yellow	yellow
ACTR6	turquoise	turquoise
ACTR8	blue	blue
ACTRT3	grey	grey
ACVR1	grey	grey
ACVR1B	grey	grey
ACVR2A	blue	blue
ACVR2B	blue	blue
ACVRL1	tan	tan
ACY1	lightyellow	lightyellow
ACY3	grey	grey
ACYP1	yellow	yellow
ACYP2	turquoise	turquoise
ADA	turquoise	turquoise
ADAL	grey	grey
ADAM10	blue	blue
ADAM12	pink	pink
ADAM15	cyan	black
ADAM17	salmon	salmon
ADAM19	greenyellow	greenyellow
ADAM22	blue	blue
ADAM23	grey	grey
ADAM28	greenyellow	greenyellow
ADAM33	tan	tan
ADAM8	brown	brown
ADAM9	grey	grey
ADAMDEC1	greenyellow	greenyellow
ADAMTS1	tan	tan
ADAMTS10	yellow	yellow
ADAMTS12	pink	pink
ADAMTS13	yellow	yellow
ADAMTS14	pink	pink
ADAMTS15	tan	tan
ADAMTS16	pink	pink
ADAMTS17	grey	grey
ADAMTS2	pink	pink
ADAMTS3	grey	grey
ADAMTS4	pink	pink
ADAMTS5	pink	pink
ADAMTS7	pink	pink
ADAMTS8	tan	tan
ADAMTS9	pink	pink
ADAMTSL2	tan	tan
ADAMTSL3	tan	tan
ADAMTSL4	brown	brown
ADAMTSL5	grey	grey
ADAP1	midnightblue	midnightblue
ADAP2	brown	brown
ADAR	blue	blue
ADARB1	tan	tan
ADAT1	blue	blue
ADAT2	green	green
ADAT3	red	lightcyan
ADCK1	yellow	yellow
ADCK2	black	black
ADCK5	lightyellow	lightyellow
ADCY1	grey	grey
ADCY3	turquoise	turquoise
ADCY4	tan	tan
ADCY5	grey	grey
ADCY6	green	green
ADCY7	brown	brown
