"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPM6A",-2.77539577788517,0.650131054323282,-37.8062698089588,1.41581206330536e-157,2.61189009438572e-153,349.515300655591
"SERTM1",-2.3565057976129,0.408037036734938,-37.0893769040926,3.36570895758261e-154,3.1045299424742e-150,341.781484119687
"SH3GL3",-1.26272463805139,0.251136139692111,-36.1543837011984,9.35462364622893e-150,5.75246990085438e-146,331.599782372938
"SLC6A4",-3.86601406034369,0.716430166413287,-35.9632153583001,7.67817479970354e-149,3.54117421762327e-145,329.504932107433
"SGCG",-1.73001228618026,0.465171927850662,-34.7403346367442,5.99639773657019e-143,2.21243090888494e-139,316.000975585997
"RS1",-1.12200323378503,0.250330769622352,-34.4376845110862,1.76984143351845e-141,5.44167246092474e-138,312.631679490936
"ANGPT4",-1.14186711073067,0.237617446124826,-34.3734865906143,3.63367000856763e-141,9.57627775972223e-138,311.915620673077
"ITLN2",-3.82189105991062,0.904285387085901,-33.0603228265472,9.88217407345406e-135,2.27882934133851e-131,297.16582815502
"WNT3A",-2.17045376434179,0.550509681899842,-32.8193210875567,1.53007238040758e-133,3.13630836375101e-130,294.437988918339
"CD300LG",-1.89454895268125,0.35164005208651,-32.0984847712408,5.74882133680335e-130,1.06054256021348e-126,286.241766224005
"GYPE",-1.26600931156205,0.399071356133973,-31.8950137966463,5.92800982569668e-129,9.94181138767749e-126,283.918315527072
"RTKN2",-3.45964790873936,1.62114846399707,-31.0989078606112,5.68935216446632e-125,8.74643072750622e-122,274.787068428765
"CD5L",-0.936423488302416,0.195247748089042,-30.6064397902685,1.7052745048793e-122,2.41991569738564e-119,269.107343597022
"SCUBE1",-1.75100888318577,0.528702329747183,-30.0174113927589,1.61043038710363e-119,2.12208712723484e-116,262.284184098101
"MYZAP",-2.18750780198618,0.987614423541217,-29.7708787955312,2.85850471406119e-118,3.51557966433339e-115,259.419155491351
"LGI3",-3.63155627813046,1.01837173814387,-29.6645757182172,9.89658515210527e-118,1.14107626803774e-114,258.182141997767
"CA4",-3.31472344406939,1.0403658750858,-29.6197629204417,1.67099649624416e-117,1.81332608015955e-114,257.660379499793
"FABP4",-4.94173911591552,2.00751349372787,-29.4724218848663,9.36402348394171e-117,9.59708362398648e-114,255.943661399292
"FAM107A",-3.84637462756947,1.74940295141841,-29.3364169384648,4.60317337279467e-116,4.46943907270084e-113,254.357406117768
"GRIA1",-1.60484740208325,0.41749617610862,-29.0536808411706,1.26729752897701e-114,1.16895524072839e-111,251.054932081333
"RXFP1",-1.13632598292669,0.386147505578823,-28.8538353443005,1.32507763103967e-113,1.12118153211304e-110,248.716793700995
"OVCH1",-0.887685082429638,0.194573401906127,-28.853069689439,1.33705516622327e-113,1.12118153211304e-110,248.707829723661
"C10orf67",-1.09969447160453,0.258648208140608,-28.5649797889681,3.96249751532149e-112,3.17826757228917e-109,245.33179859419
"CNTN6",-1.67767374512169,0.477224600193948,-28.2494637222096,1.63287610896459e-110,1.25513743575745e-107,241.627274728373
"FXYD1",-1.33455317731641,0.540930863096051,-28.1876265329203,3.38712200675108e-110,2.49942507122175e-107,240.900394171966
"NECAB1",-1.73658885858358,0.654200524516469,-28.1460801537173,5.53089581263875e-110,3.92438330582922e-107,240.411875715802
"JPH4",-0.846064601306831,0.358209821859842,-27.8846783256716,1.2131137330631e-108,8.28871190649926e-106,237.335479481349
"TEK",-2.72843731276244,1.84272130500202,-27.716842897353,8.83098855567336e-108,5.81835988839508e-105,235.357833606183
"NCKAP5",-2.26281486450968,0.789164480482857,-27.5472304808179,6.57718011035241e-107,4.18399374744073e-104,233.357398439903
"CHRM1",-1.12250797469279,0.214771006175254,-27.3591590376516,6.10767657304018e-106,3.75581391398151e-103,231.137154046802
"CCDC85A",-1.18373370812733,0.479533394929859,-27.235944500485,2.63298821685171e-105,1.56688279433808e-102,229.681408559523
"GPD1",-3.08117835088183,1.22299345859227,-27.2088185637272,3.63247835394521e-105,2.09412377104942e-102,229.360803077092
"TAL1",-1.38527838806369,0.661784831429743,-27.1698004083894,5.77110007295193e-105,3.19123598245694e-102,228.899566787478
"STX11",-2.71169383454114,2.33042290252762,-27.1682034082534,5.88150603878664e-105,3.19123598245694e-102,228.880686666635
"STXBP6",-2.14493927295115,0.821340362936722,-26.9571177712704,7.20838437431358e-104,3.79943642678105e-101,226.383910731824
"ST8SIA6",-1.65157328144261,0.57077746295862,-26.6353883877522,3.30107265657332e-102,1.69161634356846e-99,222.573771815393
"KANK3",-2.04307821825794,1.31969717025491,-26.5493877963661,9.18309628556526e-102,4.57864216962454e-99,221.554396287302
"EDNRB",-3.1544213860306,2.14601531078833,-26.4597628192905,2.66817332994124e-101,1.29532793659884e-98,220.491676405836
"LIMS2",-2.21844247351763,1.69857168336595,-26.2864455099538,2.10117252558441e-100,9.93908480820031e-98,218.4355099016
"C20orf202",-0.791483413648251,0.34565879671321,-26.195213015113,6.2297728290957e-100,2.87317122877894e-97,217.352617965801
"ECSCR",-1.66151310793121,1.36793415802423,-25.7371849823231,1.46696794063898e-97,6.5365568666941e-95,211.910789380608
"HSPA12B",-2.11854222031493,1.65736362073313,-25.7359831452728,1.4881580030418e-97,6.5365568666941e-95,211.896499703909
"ADAMTS8",-2.70296444025474,1.14025141897435,-25.6955105046302,2.4121714485737e-97,1.03487764844855e-94,211.415255305959
"ADRB2",-2.45411115643207,1.48785841269447,-25.6798594975496,2.90756858892959e-97,1.21906421201302e-94,211.229139646732
"GPIHBP1",-3.1577419806358,1.45227693217253,-25.5262960044768,1.81830779023351e-96,7.45425380316173e-94,209.402575264442
"ANKRD1",-3.76036990424286,1.30625176612792,-25.4908507067735,2.77637760474352e-96,1.11344813157192e-93,208.980858888518
"UPK3B",-4.37406488810489,1.85523556786333,-25.4328464897798,5.55024459011274e-96,2.17853004677447e-93,208.290657558623
"PRX",-2.69902113271154,1.7658658808986,-25.3183947700045,2.17788841677077e-95,8.37035114845566e-93,206.928475505847
"RSPO1",-1.35738649582307,0.404321328319595,-25.2502171741817,4.91799800036577e-95,1.85157606348465e-92,206.116856569488
"MYOC",-1.40103460447989,0.271753734451329,-25.1953817689606,9.47006488686187e-95,3.49407514065656e-92,205.463975302281
